0	2026	-184	2241	6	-2	0	
1	2028	-174	2240	6	0	0	
2	2015	-181	2242	5	1	4	
3	2011	-177	2235	7	-4	1	
4	2007	-181	2252	4	-3	3	
5	2020	-182	2253	4	-5	3	
6	2016	-174	2243	4	0	2	
7	1998	-179	2249	8	-2	-1	
8	1967	-182	2248	6	1	-39	
9	2003	-181	2260	7	0	-13	
10	1959	-174	2247	5	-3	-7	
11	2004	-190	2243	3	-1	3	
12	2003	-187	2258	-1	-1	4	
13	2009	-182	2245	3	-2	-1	
14	2018	-175	2256	9	2	1	
15	2025	-179	2243	4	-2	3	
16	2017	-177	2239	6	-1	-2	
17	2019	-180	2244	3	1	3	
18	2032	-180	2240	5	-2	1	
19	2024	-178	2244	-1	-1	-1	
20	2018	-185	2239	5	-1	4	
21	2009	-174	2242	4	-4	4	
22	2015	-177	2246	1	-3	2	
23	2006	-183	2241	7	-1	1	
24	1970	-170	2250	7	4	47	
25	1984	-180	2238	5	3	52	
26	2021	-194	2242	8	8	69	
27	2011	-177	2237	5	1	29	
28	1991	-181	2246	5	-6	0	
29	2006	-184	2251	-1	-1	33	
30	1922	-174	2245	-3	-6	72	
31	1852	-158	2245	0	-8	172	
32	1924	-196	2248	-5	-11	346	
33	1863	-125	2237	-6	-14	301	
34	1732	-152	2245	6	-1	373	
35	1801	-140	2229	5	2	363	
36	1730	24	2244	2	2	96	
37	1603	65	2219	0	-5	-77	
38	1666	-339	2243	0	-6	-110	
39	1653	-271	2313	14	-5	-177	
40	1604	-146	2221	2	7	-203	
41	1591	-161	2263	10	2	-273	
42	1733	-238	2185	-12	-22	-313	
43	1765	-137	2268	16	10	-300	
44	1777	-1	2175	1	8	-184	
45	1976	-177	2313	11	-5	-318	
46	1970	-157	2213	11	-7	-375	
47	2153	-265	2185	-2	10	-322	
48	2105	-154	2207	-1	-12	-156	
49	2038	-267	2194	-1	7	-218	
50	2027	-214	2305	18	-6	-25	
51	2246	-108	2227	3	-13	61	
52	2132	-112	2214	-1	-8	-37	
53	2058	-332	2271	8	-2	-79	
54	2159	-191	2281	-5	-6	-20	
55	1949	-289	2268	5	-1	-57	
56	2221	-315	2231	-1	-7	-139	
57	2116	-111	2217	7	8	-102	
58	2106	-136	2160	10	-10	-55	
59	2034	-265	2238	6	3	-73	
60	2089	-48	2245	4	14	-139	
61	2050	-124	2270	5	-7	-170	
62	2183	-254	2326	3	8	-159	
63	1982	-375	2218	16	-2	-116	
64	1991	-197	2197	5	-4	33	
65	2019	-166	2267	3	-6	105	
66	2061	-153	2209	3	-8	126	
67	2061	-266	2253	9	-8	136	
68	2080	-100	2243	-9	-8	37	
69	2066	-196	2278	9	-4	95	
70	2056	-233	2242	15	-6	176	
71	2070	-159	2245	7	5	202	
72	2041	-73	2200	-2	-9	178	
73	1988	-233	2238	4	-7	258	
74	2143	-254	2302	6	-10	203	
75	1984	-279	2238	7	6	62	
76	1983	-135	2217	0	2	155	
77	2156	-195	2251	4	14	141	
78	2097	-106	2258	-1	-2	58	
79	2038	-151	2268	4	11	13	
80	2056	-198	2244	0	-12	41	
81	1989	-203	2243	-1	-5	64	
82	2037	-164	2281	3	5	95	
83	2021	-172	2274	8	-5	88	
84	2026	-185	2228	13	-10	164	
85	2001	-178	2253	10	-6	175	
86	2039	-162	2297	17	-6	-52	
87	1998	0	2265	4	-6	-117	
88	2042	-243	2290	10	-10	-67	
89	2092	-191	2177	0	2	-95	
90	2057	-229	2183	-4	0	-189	
91	1996	-174	2292	9	-1	-201	
92	2047	-118	2281	12	1	-157	
93	2222	-168	2227	6	-2	-321	
94	2082	-96	2225	16	2	-285	
95	2245	-151	2265	14	3	-331	
96	2327	-180	2269	2	12	-275	
97	2125	-172	2243	-1	6	1	
98	2201	-203	2280	18	-26	104	
99	2318	-137	2237	2	-11	-7	
100	2295	-157	2255	-2	3	170	
101	2277	-154	2197	-9	9	355	
102	2404	-292	2198	-6	3	218	
103	2227	-163	2272	12	3	17	
104	2172	-113	2192	-4	-1	-46	
105	2223	-183	2231	5	3	-123	
106	2264	-20	2240	3	-1	-263	
107	2093	-90	2205	6	6	-271	
108	2002	76	2229	8	-3	-330	
109	2122	-107	2217	0	10	-399	
110	1905	-222	2193	15	-15	-93	
111	1979	92	2198	7	2	235	
112	1929	140	2221	-2	-5	500	
113	2099	-281	2291	15	6	379	
114	2050	-122	2289	-6	-14	329	
115	2113	-177	2197	-2	8	228	
116	2069	-145	2193	1	-6	153	
117	2012	-158	2251	7	-5	100	
118	2074	-215	2269	-14	-8	191	
119	2311	-187	2181	-5	-6	127	
120	2092	-138	2250	8	-4	53	
121	2081	-230	2332	17	1	76	
122	2070	-89	2290	-6	5	123	
123	2169	-286	2342	-3	-3	88	
124	1915	-320	2214	1	-5	92	
125	2116	-285	2251	8	9	140	
126	2102	-23	2255	4	3	124	
127	2020	-134	2200	13	-9	19	
128	2098	-435	2255	15	2	67	
129	2112	-136	2261	-3	2	141	
130	2077	-299	2272	10	-5	127	
131	1918	-436	2279	10	-4	-13	
132	2201	-406	2306	6	13	54	
133	1829	53	2202	8	7	303	
134	1970	0	2226	-2	-2	248	
135	2102	-196	2238	12	0	178	
136	1999	-134	2253	4	1	167	
137	1942	-160	2256	18	5	277	
138	1983	120	2213	2	-6	131	
139	2074	-112	2288	23	-5	119	
140	1868	106	2195	1	-4	31	
141	1985	7	2230	7	14	-3	
142	1923	-309	2254	7	15	42	
143	1916	-248	2231	15	-8	18	
144	1886	-234	2305	6	16	-24	
145	1939	50	2204	2	4	18	
146	1884	-103	2247	-1	1	-6	
147	1925	-158	2206	3	1	16	
148	2002	-257	2277	3	0	65	
149	1901	-362	2270	4	-3	65	
150	1955	-202	2268	1	-1	74	
151	1813	-213	2213	1	-3	20	
152	1955	-441	2302	27	7	-34	
153	1875	-180	2214	3	-2	-25	
154	2042	-350	2281	17	1	41	
155	1986	-258	2285	19	7	-94	
156	1948	-123	2239	15	1	-132	
157	1960	1	2203	3	0	-221	
158	1951	128	2238	-1	-3	-302	
159	1892	-38	2239	5	2	-268	
160	1813	-154	2259	0	-4	-31	
161	1836	-236	2260	6	-1	202	
