	38945.7031250000	77	744	6	-6	-2	
1	38975.1328125000	69	740	6	-2	2	
2	39053.6132812500	72	754	6	-3	-4	
3	39083.0429687500	73	738	5	1	3	
4	38984.9414062500	70	730	6	-8	1	
5	38965.3203125000	70	729	8	-3	-1	
6	39024.1835937500	71	741	3	-1	0	
7	38994.7500000000	72	745	4	-8	1	
8	38965.3203125000	77	753	3	1	2	
9	38877.0312500000	68	741	4	-4	1	
10	39014.3710937500	70	737	4	-1	2	
11	38975.1328125000	73	745	6	-3	2	
12	38955.5117187500	67	744	4	-8	-1	
13	38955.5117187500	76	738	7	-3	0	
14	38975.1328125000	66	739	4	-7	-3	
15	39033.9921875000	72	760	-1	0	-3	
16	38896.6523437500	68	733	4	-5	-1	
17	38955.5117187500	72	746	5	-9	1	
18	38984.9414062500	71	731	6	-7	3	
19	39033.9921875000	75	733	6	-5	0	
20	39033.9921875000	71	740	5	-5	0	
21	38916.2734375000	76	744	5	-1	2	
22	38975.1328125000	78	749	6	-4	-1	
23	38935.8906250000	78	739	6	2	0	
24	38975.1328125000	70	738	4	-3	3	
25	39092.8515625000	72	755	3	-5	3	
26	39043.8007812500	77	749	5	-9	2	
27	38965.3203125000	72	734	6	-4	0	
28	38935.8906250000	62	747	6	-5	1	
29	38994.7500000000	81	750	4	-2	-1	
30	38945.7031250000	84	748	7	-4	0	
31	38965.3203125000	69	746	3	-4	0	
32	38965.3203125000	69	753	7	-3	0	
33	38926.0820312500	67	752	2	-3	2	
34	38955.5117187500	76	741	5	1	1	
35	38945.7031250000	68	742	5	-2	6	
36	39033.9921875000	69	743	2	1	3	
37	38955.5117187500	87	753	3	-4	2	
38	39004.5625000000	83	754	4	-5	2	
39	38935.8906250000	67	765	4	-8	-1	
40	38926.0820312500	73	743	1	1	1	
41	38975.1328125000	74	732	4	-4	3	
42	39043.8007812500	67	745	6	-1	1	
43	38886.8398437500	74	742	3	-1	4	
44	38916.2734375000	70	737	7	-1	2	
45	38935.8906250000	68	753	6	-5	4	
46	38975.1328125000	76	744	7	-2	0	
47	38906.4609375000	72	754	2	1	1	
48	39033.9921875000	66	744	8	-4	-4	
49	39014.3710937500	68	747	10	-5	5	
50	39024.1835937500	71	744	8	-1	3	
51	38916.2734375000	70	741	6	-4	5	
52	38975.1328125000	70	743	3	-2	1	
53	38984.9414062500	66	735	7	-3	1	
54	39073.2304687500	76	754	7	-4	-2	
55	38975.1328125000	74	741	2	-5	1	
56	38916.2734375000	73	739	8	-4	2	
57	38935.8906250000	74	753	5	5	1	
58	38945.7031250000	68	751	6	-6	-1	
59	39033.9921875000	73	741	6	-4	-2	
60	38965.3203125000	68	741	8	-4	2	
61	38975.1328125000	80	747	6	-5	3	
62	38935.8906250000	71	749	4	-1	1	
63	39014.3710937500	67	743	4	-4	-1	
64	39092.8515625000	74	741	1	-5	-3	
65	38926.0820312500	67	756	4	-3	-1	
66	38994.7500000000	78	741	6	-1	3	
67	39024.1835937500	67	746	8	-4	-1	
68	39092.8515625000	73	731	7	-1	1	
69	39043.8007812500	63	759	6	-6	0	
70	38945.7031250000	77	742	2	-6	0	
71	38965.3203125000	68	744	3	0	3	
72	39004.5625000000	66	750	1	-2	3	
73	38975.1328125000	63	753	4	-1	1	
74	38945.7031250000	72	740	5	-4	-1	
75	38975.1328125000	61	742	5	3	3	
76	38975.1328125000	68	759	4	1	0	
77	39024.1835937500	71	746	6	-7	-1	
78	39004.5625000000	70	746	6	-2	1	
