	-2181	342	24	-7	-1	
999	2193	-2168	349	24	-21	-2	
1000	2198	-2171	347	13	-24	1	
0	2165	-2170	354	5	-8	13	
1	2168	-2177	367	7	-4	14	
2	2156	-2182	365	6	-10	12	
3	2156	-2169	364	3	-9	12	
4	2159	-2159	354	-2	-12	9	
5	2161	-2185	350	-2	-15	8	
6	2172	-2179	358	1	-5	13	
7	2168	-2166	358	5	-2	7	
8	2163	-2165	354	-2	0	9	
9	2165	-2175	344	-1	8	11	
10	2165	-2179	363	2	12	7	
11	2156	-2169	357	0	10	5	
12	2167	-2175	359	0	13	9	
13	2165	-2176	354	3	15	4	
14	2156	-2174	355	-1	17	2	
15	2158	-2183	342	0	17	3	
16	2154	-2184	361	1	18	2	
17	2144	-2179	357	3	20	1	
18	2151	-2173	335	3	16	-1	
19	2141	-2181	345	0	5	-4	
20	2143	-2174	347	-1	0	0	
21	2151	-2174	356	-2	-9	1	
22	2154	-2185	349	3	-12	4	
23	2151	-2168	360	-1	-14	3	
24	2148	-2180	357	1	-24	2	
25	2159	-2190	340	-2	-16	2	
26	2166	-2176	350	-3	-22	2	
27	2169	-2173	345	2	-9	-2	
28	2162	-2181	344	10	-9	3	
29	2162	-2181	345	3	-1	-5	
30	2170	-2171	339	-2	0	-1	
31	2159	-2176	354	-2	5	3	
32	2159	-2185	341	-7	3	-4	
33	2152	-2173	345	-9	-6	-5	
34	2161	-2172	353	-5	-4	-5	
35	2163	-2166	359	1	-5	-8	
36	2162	-2172	357	-8	-12	-12	
37	2171	-2176	347	-6	-3	-15	
38	2167	-2173	345	-2	-2	-17	
39	2167	-2174	361	-2	0	-15	
40	2175	-2175	353	-6	10	-15	
41	2175	-2180	342	-8	18	-18	
42	2171	-2175	357	-3	20	-11	
43	2170	-2174	346	-7	20	-17	
44	2182	-2187	351	-6	21	-19	
45	2180	-2174	346	-5	24	-16	
46	2179	-2168	344	0	34	-18	
47	2184	-2183	339	-1	38	-16	
48	2172	-2174	347	0	39	-12	
49	2174	-2175	341	4	24	-14	
50	2181	-2174	350	3	11	-11	
51	2168	-2177	332	7	6	-10	
52	2185	-2172	339	9	7	-13	
53	2183	-2179	351	3	7	-5	
54	2177	-2184	331	-1	1	-6	
55	2178	-2167	326	-7	0	-9	
56	2176	-2171	344	-2	2	-10	
57	2167	-2175	349	-8	-8	-8	
58	2180	-2184	330	-8	-14	-9	
59	2188	-2184	343	0	-9	-4	
60	2187	-2172	339	2	-8	-7	
61	2193	-2170	335	2	-6	-8	
62	2185	-2173	334	-4	-14	-4	
63	2185	-2176	331	-1	-3	-10	
64	2188	-2185	342	0	-3	-4	
65	2192	-2180	331	-2	1	-8	
66	2194	-2180	331	5	4	-1	
67	2183	-2160	326	0	7	-9	
68	2187	-2177	331	0	3	-5	
69	2188	-2178	331	2	5	-4	
70	2188	-2180	323	11	4	-3	
71	2183	-2173	330	5	-3	-4	
72	2182	-2176	327	4	-7	-2	
73	2180	-2173	339	5	-8	0	
74	2180	-2173	332	11	-16	-2	
75	2177	-2170	341	14	-13	-4	
76	2191	-2183	333	13	-12	-4	
77	2185	-2176	338	10	-7	-1	
78	2181	-2169	354	7	-9	1	
79	2188	-2174	342	4	-9	-9	
80	2188	-2176	342	5	-4	-5	
81	2190	-2176	332	13	2	-11	
82	2180	-2173	336	12	7	-8	
83	2180	-2171	357	8	4	-9	
84	2196	-2172	352	6	8	-7	
85	2181	-2176	332	8	9	-9	
86	2186	-2177	347	10	4	-11	
87	2178	-2176	353	6	1	-4	
88	2196	-2181	339	1	2	-9	
89	2184	-2175	335	6	-1	0	
90	2193	-2172	351	18	8	-5	
91	2186	-2166	358	8	11	-3	
92	2182	-2175	342	12	7	-7	
93	2177	-2170	344	8	1	-13	
94	2185	-2160	345	3	-18	-11	
95	2193	-2183	343	0	-23	-7	
96	2181	-2188	344	-6	-28	-4	
97	2175	-2173	331	-6	-41	-6	
98	2200	-2171	343	-5	-45	-4	
99	2198	-2181	355	3	-24	-7	
100	2210	-2180	337	-1	-15	-16	
101	2214	-2170	331	3	-2	-16	
102	2215	-2173	346	5	13	-18	
103	2212	-2176	346	8	38	-7	
104	2205	-2164	355	9	54	-13	
105	2210	-2180	340	7	67	-13	
106	2202	-2158	342	7	64	-5	
107	2201	-2174	331	8	67	-7	
108	2210	-2170	318	10	50	-4	
109	2201	-2184	347	12	38	-1	
110	2201	-2181	352	13	21	-9	
111	2204	-2173	342	8	10	-9	
112	2213	-2167	343	2	13	-8	
113	2220	-2184	345	9	22	-11	
114	2214	-2166	350	4	28	-14	
115	2205	-2166	342	7	22	-16	
116	2215	-2181	344	5	24	-17	
117	2208	-2189	346	2	21	-15	
118	2191	-2168	363	9	23	-22	
119	2200	-2174	367	-3	6	-19	
120	2212	-2185	347	3	-10	-10	
121	2207	-2176	348	4	-14	-2	
122	2213	-2178	359	19	-20	-4	
123	2214	-2165	354	7	-25	-4	
124	2208	-2177	347	3	-23	0	
125	2207	-2178	345	3	-47	-5	
126	2205	-2179	365	-3	-55	-5	
127	2204	-2178	358	4	-60	-5	
128	2211	-2153	363	-1	-61	-12	
129	2215	-2177	365	6	-46	-10	
130	2212	-2172	362	-7	-48	-10	
131	2208	-2164	355	-1	-47	0	
132	2225	-2162	348	6	-33	4	
133	2231	-2156	342	-2	-13	0	
134	2212	-2158	360	-1	-9	-4	
135	2228	-2174	361	-11	-6	5	
136	2232	-2180	319	-2	17	8	
137	2233	-2194	311	1	21	7	
138	2221	-2174	336	7	22	11	
139	2221	-2146	363	2	25	9	
140	2227	-2155	359	-5	32	2	
141	2216	-2167	359	-15	34	-3	
142	2211	-2172	348	-20	25	-4	
143	2213	-2173	336	-15	11	-6	
144	2205	-2164	346	-18	-1	-9	
145	2207	-2175	330	-19	-15	-6	
146	2211	-2183	336	-16	-16	-2	
147	2205	-2168	331	-10	-12	4	
148	2202	-2172	327	-16	-19	5	
149	2219	-2176	337	-2	-15	5	
150	2220	-2183	329	1	-18	9	
151	2219	-2176	324	0	-14	6	
152	2215	-2173	320	-5	-13	11	
153	2223	-2167	318	-9	-10	7	
154	2227	-2185	326	-2	-1	6	
155	2220	-2178	335	0	4	0	
156	2216	-2159	338	3	5	-6	
157	2215	-2163	333	-11	3	3	
158	2210	-2170	342	-7	-7	-4	
159	2204	-2176	323	-5	-4	1	
160	2205	-2179	332	-2	-9	1	
161	2208	-2175	331	7	-5	5	
162	2209	-2174	332	6	-9	12	
163	2210	-2180	336	10	-10	12	
164	2202	-2169	329	16	-7	14	
165	2215	-2174	318	15	-12	11	
166	2208	-2180	321	10	-16	16	
167	2207	-2166	313	9	-9	10	
168	2210	-2175	328	13	-9	7	
169	2204	-2162	324	5	-8	7	
170	2200	-2172	317	4	-8	4	
171	2203	-2167	323	-1	-19	7	
172	2205	-2171	307	-1	-18	4	
173	2218	-2179	334	5	-8	10	
174	2208	-2170	317	4	-6	7	
175	2216	-2185	324	1	-3	4	
176	2204	-2177	338	8	5	4	
177	2191	-2167	344	-2	0	6	
178	2210	-2172	339	8	7	4	
179	2194	-2174	324	3	-1	11	
180	2191	-2171	317	7	0	8	
181	2208	-2166	330	11	9	11	
182	2196	-2179	338	9	9	10	
183	2200	-2182	345	5	12	9	
184	2194	-2178	348	8	6	7	
185	2193	-2173	348	8	11	6	
186	2202	-2170	342	8	14	5	
187	2190	-2181	322	5	8	7	
188	2180	-2179	328	6	0	14	
189	2185	-2178	327	7	4	14	
190	2203	-2180	321	14	5	10	
191	2184	-2163	331	11	10	17	
192	2189	-2176	353	6	12	10	
193	2184	-2183	338	3	13	11	
194	2180	-2173	336	6	12	4	
195	2181	-2180	338	10	5	6	
196	2198	-2191	315	7	1	12	
197	2185	-2171	334	8	-4	7	
198	2166	-2172	341	9	-5	3	
199	2168	-2176	326	3	-21	13	
200	2181	-2184	346	4	-30	8	
201	2179	-2172	342	9	-37	10	
202	2182	-2187	337	9	-27	4	
203	2188	-2173	331	8	-30	0	
204	2193	-2178	346	9	-20	-1	
205	2191	-2172	360	4	-11	2	
206	2184	-2175	338	5	-5	-3	
207	2181	-2180	350	4	-4	-5	
208	2177	-2172	343	2	-7	-2	
209	2196	-2181	342	3	-1	-2	
210	2173	-2181	347	3	4	1	
211	2196	-2172	359	12	9	-9	
212	2194	-2177	355	9	17	-10	
213	2186	-2171	339	1	13	-12	
214	2183	-2181	322	1	8	-14	
215	2186	-2180	351	8	11	-16	
216	2183	-2179	345	-1	1	-18	
217	2192	-2175	332	-2	-3	-15	
218	2187	-2174	334	-10	-8	-16	
219	2201	-2182	329	0	-9	-22	
220	2204	-2165	311	-2	2	-21	
221	2197	-2169	347	7	1	-21	
222	2198	-2172	340	7	4	-16	
223	2190	-2169	339	7	-1	-21	
224	2202	-2179	327	0	-2	-26	
