0	2379	-2167	346	35	-45	-11	
1	2382	-2172	348	29	-41	-16	
2	2398	-2171	343	31	-36	-13	
3	2396	-2159	338	22	3	-12	
4	2356	-2159	337	24	22	-37	
5	2361	-2169	365	35	10	-51	
6	2356	-2165	341	53	-20	-64	
7	2353	-2175	346	69	-56	-49	
8	2402	-2157	347	59	-55	-26	
9	2389	-2145	349	61	-50	-26	
10	2396	-2155	354	67	-45	-14	
11	2390	-2165	376	63	-52	7	
12	2368	-2149	386	64	-85	21	
13	2357	-2149	380	75	-117	31	
14	2390	-2157	393	43	-147	20	
15	2387	-2142	380	42	-154	31	
16	2370	-2141	408	33	-173	31	
17	2380	-2170	390	24	-176	42	
18	2363	-2137	369	26	-167	74	
19	2387	-2116	368	21	-133	118	
20	2390	-2111	406	65	-80	185	
21	2262	-2231	455	69	1	233	
22	2327	-2241	499	31	52	202	
23	2438	-2150	497	-43	146	104	
24	2389	-2108	414	-33	257	25	
25	2305	-2097	398	-44	371	4	
26	2247	-2130	360	-20	391	31	
27	2215	-2169	352	-9	357	46	
28	2166	-2196	373	-5	266	60	
29	2160	-2209	383	-3	148	64	
30	2209	-2162	390	6	96	56	
31	2174	-2132	382	6	50	48	
32	2142	-2144	381	12	-69	48	
33	2147	-2175	382	33	-210	79	
34	2176	-2173	406	42	-306	117	
35	2164	-2153	420	40	-347	141	
36	2100	-2219	422	22	-419	115	
37	2067	-2236	424	28	-605	114	
38	2009	-2203	420	85	-766	191	
39	2008	-2188	419	75	-864	229	
40	2029	-2144	400	58	-938	213	
41	2063	-2231	369	34	-995	179	
42	2038	-2211	327	26	-1053	126	
43	1910	-2178	333	77	-1212	101	
44	1869	-2239	317	74	-1473	98	
45	2026	-2236	376	115	-1583	114	
46	2118	-2190	398	123	-1566	110	
47	2080	-2086	379	61	-1497	39	
48	2076	-2014	384	55	-1471	-50	
49	2076	-2013	407	78	-1457	-137	
50	2187	-2159	425	100	-1376	-183	
51	2310	-2187	478	96	-1210	-219	
52	2409	-2336	486	115	-963	-202	
53	2428	-2397	373	132	-770	-152	
54	2315	-2118	326	229	-641	-137	
55	2362	-2009	341	320	-678	-115	
56	2515	-2117	406	289	-575	-60	
57	2620	-2142	359	152	-407	-58	
58	2614	-2055	334	71	-232	-32	
59	2511	-2122	279	33	-108	-2	
60	2552	-2152	264	5	-33	9	
61	2591	-2102	301	-17	54	39	
62	2496	-2074	352	-10	59	68	
63	2434	-2112	382	-50	-10	89	
64	2488	-2152	370	-101	-22	100	
65	2510	-2104	368	-107	50	139	
66	2457	-2121	396	-116	151	154	
67	2367	-2193	437	-106	183	156	
68	2256	-2207	529	-121	65	176	
69	2292	-2154	498	-122	-72	177	
70	2472	-2099	427	-97	16	109	
71	2442	-2145	403	-84	185	133	
72	2209	-2151	367	-55	184	140	
73	2138	-2168	367	-24	71	101	
74	2192	-2200	336	-48	-13	84	
75	2239	-2179	325	-26	-47	105	
76	2222	-2179	330	7	-57	110	
77	2204	-2182	331	14	-77	83	
78	2221	-2192	338	14	-90	46	
79	2255	-2197	343	9	-62	50	
80	2224	-2151	352	42	-9	61	
81	2200	-2137	389	45	12	26	
82	2201	-2190	381	18	34	30	
83	2199	-2155	373	-10	44	39	
84	2204	-2154	359	-9	65	27	
85	2189	-2179	350	-10	80	24	
86	2156	-2188	358	-17	60	23	
87	2160	-2178	351	-12	15	4	
88	2181	-2183	349	-9	-25	-4	
89	2187	-2174	351	-1	-45	-1	
90	2204	-2195	347	4	-48	1	
91	2186	-2163	361	-1	-69	-9	
92	2201	-2180	348	10	-73	-20	
93	2226	-2175	369	7	-69	-7	
94	2224	-2167	369	14	-44	3	
95	2203	-2157	363	13	-32	-4	
96	2231	-2176	362	-6	-18	-12	
97	2222	-2178	364	15	-2	1	
98	2207	-2172	361	17	-3	4	
99	2229	-2163	364	12	1	-3	
100	2229	-2170	353	8	21	3	
101	2207	-2161	368	8	33	1	
102	2219	-2174	357	4	33	-7	
103	2210	-2173	359	4	39	-2	
104	2201	-2174	364	10	37	1	
105	2204	-2165	364	6	22	4	
